
New Run at  04/26/2018 14:23:33
, Time,RandomCTR;GOBLinCTR
data,1241938800,0.0255;0.0377358490566
data,1241938800,0.023;0.0331753554502
data,1241938800,0.0263333333333;0.029702970297
data,1241938800,0.02675;0.0285714285714
data,1241939100,0.0262;0.0248962655602
data,1241939100,0.0256666666667;0.0259965337955
data,1241939100,0.0258571428571;0.0256024096386
data,1241939100,0.026125;0.0245478036176
data,1241939400,0.0258333333333;0.02416570771
data,1241939400,0.02535;0.0227979274611
data,1241939400,0.0251363636364;0.0212962962963
data,1241939700,0.0250833333333;0.0230375426621
data,1241939700,0.0249230769231;0.0223420647149
data,1241939700,0.0248928571429;0.0241477272727
data,1241939700,0.0248333333333;0.0253333333333
data,1241940000,0.0243125;0.0260545905707
data,1241940000,0.0245882352941;0.0272621809745
data,1241940000,0.0243055555556;0.0275482093664
data,1241940300,0.0240789473684;0.027027027027
data,1241940300,0.0242;0.0266930301532
data,1241940300,0.0242380952381;0.0276995305164
data,1241940600,0.0241818181818;0.0263510495757
data,1241940600,0.0241739130435;0.0257953568358
data,1241940600,0.0240833333333;0.0257475083056
data,1241940600,0.02424;0.0260625501203
data,1241940900,0.0243653846154;0.026599845798
data,1241940900,0.0241851851852;0.0257366654233
data,1241940900,0.02425;0.0255855855856
data,1241941200,0.0238103448276;0.0250958522133
data,1241941200,0.0237833333333;0.0253635441326
data,1241941200,0.0237419354839;0.0248284874224
data,1241941500,0.02375;0.0247148288973
data,1241941500,0.0236363636364;0.024
data,1241941500,0.0235735294118;0.0246290801187
data,1241941500,0.0235;0.0243125904486
data,1241941800,0.0234305555556;0.0245554614733
data,1241941800,0.0234459459459;0.0242224057253
data,1241941800,0.0233684210526;0.0243315508021
data,1241942100,0.0232820512821;0.0244473342003
data,1241942100,0.023275;0.0248289840385
data,1241942100,0.023256097561;0.0247708694575
data,1241942400,0.0231904761905;0.024795377949
data,1241942400,0.0230581395349;0.0244360902256
data,1241942400,0.0229772727273;0.0241434812601
data,1241942700,0.0229555555556;0.02385775377
data,1241942700,0.0228695652174;0.0239876760563
data,1241942700,0.0229255319149;0.02451085788
data,1241943000,0.0229479166667;0.0241952451084
data,1241943000,0.023;0.0244303017861
data,1241943000,0.02295;0.0247236180905
data,1241943300,0.0228039215686;0.0246353961372
data,1241943300,0.0228846153846;0.0247199691
data,1241943300,0.0228962264151;0.024759024759
data,1241943600,0.0228240740741;0.0256219829187
data,1241943600,0.0227909090909;0.0258181818182
data,1241943600,0.0227857142857;0.0256867641812
data,1241943900,0.0227807017544;0.0253940455342
data,1241943900,0.0227413793103;0.0252403846154
data,1241943900,0.0226949152542;0.0252029769959
data,1241944200,0.0226583333333;0.0254575707155
data,1241944200,0.0227049180328;0.0258634801113
data,1241944200,0.0226935483871;0.0257856567284
data,1241944500,0.0226904761905;0.0254048904414
data,1241944500,0.02265625;0.0254528419738
data,1241944500,0.0226153846154;0.0250307125307
data,1241944800,0.0227045454545;0.0256836380118
data,1241944800,0.0227014925373;0.0259159964254
data,1241945100,0.0226691176471;0.0259721203228
data,1241945100,0.0226956521739;0.0262052989721
data,1241945100,0.0226642857143;0.0262257696693
data,1241945400,0.0225845070423;0.0258863252673
data,1241945400,0.0225694444444;0.0259254124497
data,1241945400,0.0225410958904;0.0258055707264
data,1241945700,0.0224527027027;0.026024811219
data,1241945700,0.0224266666667;0.0256785524215
data,1241945700,0.0223421052632;0.0258462345841
data,1241946000,0.0222792207792;0.0257745378808
data,1241946000,0.02225;0.025860948668
data,1241946000,0.0222341772152;0.025834090614
data,1241946300,0.0222625;0.0256739409499
data,1241946300,0.0222283950617;0.0254301619433
data,1241946300,0.0222195121951;0.0252090353176
data,1241946600,0.0222590361446;0.0250215703192
data,1241946600,0.0222023809524;0.0247259439708
data,1241946900,0.0221823529412;0.0245723921947
data,1241946900,0.0221337209302;0.0243001786778
data,1241946900,0.0221379310345;0.0241148100224
data,1241947200,0.0220170454545;0.0238705170005
data,1241947200,0.0219775280899;0.0238232247669
data,1241947200,0.0219388888889;0.0236767216847
data,1241947500,0.0218571428571;0.0233891825031
data,1241947500,0.0218532608696;0.0233826968044
data,1241947800,0.0218279569892;0.0233789148655
data,1241947800,0.021835106383;0.0233140865018
data,1241947800,0.0218105263158;0.023413897281
data,1241948100,0.0217760416667;0.0235168359166
data,1241948100,0.0216958762887;0.0238522427441
data,1241948100,0.0216632653061;0.0238020670216
data,1241948400,0.0216666666667;0.0238907849829
data,1241948400,0.021665;0.0243428454536
data,1241948400,0.0216485148515;0.0241829404027
data,1241948700,0.0216078431373;0.0239239239239
data,1241948700,0.021567961165;0.0238850346878
data,1241949000,0.0215576923077;0.0240431795878
data,1241949000,0.0215238095238;0.0240155566359
data,1241949000,0.0214952830189;0.0238622149524
data,1241949300,0.0215046728972;0.023712027426
data,1241949300,0.0214722222222;0.0235982631678
data,1241949300,0.0214449541284;0.0234426076399
data,1241949600,0.0214681818182;0.0236905422913
data,1241949600,0.021481981982;0.0235563703025
data,1241949600,0.0214642857143;0.0236385125921
data,1241949900,0.0214469026549;0.0235198702352
data,1241949900,0.0214210526316;0.0235010276115
data,1241949900,0.021352173913;0.0236660166637
data,1241950200,0.021400862069;0.0238137082601
data,1241950200,0.0213760683761;0.0237161042811
data,1241950500,0.0213855932203;0.0235395932497
data,1241950500,0.0213991596639;0.0236869207003
data,1241950500,0.0213791666667;0.0235464127848
data,1241950800,0.0213636363636;0.023616734143
data,1241950800,0.0213893442623;0.0235864837738
data,1241950800,0.0213902439024;0.0235625985232
data,1241951100,0.0214314516129;0.0234993403694
data,1241951100,0.021396;0.02350147396
data,1241951100,0.0214087301587;0.0233219567691
data,1241951400,0.0214015748031;0.0231321028452
data,1241951400,0.02143359375;0.0231666400383
data,1241951400,0.0214534883721;0.0231950601647
data,1241951700,0.0214423076923;0.0232375569163
data,1241951700,0.0214160305344;0.0233247523208
data,1241951700,0.0214242424242;0.0234375
data,1241952000,0.0214436090226;0.0234308980564
data,1241952000,0.0214291044776;0.0235042735043
data,1241952000,0.0214037037037;0.023519624896
data,1241952300,0.0213933823529;0.0235267588695
data,1241952300,0.021397810219;0.0234310872323
data,1241952300,0.0214347826087;0.023357555984
data,1241952300,0.0214424460432;0.0233978368038
data,1241952600,0.0214857142857;0.0233713117149
data,1241952600,0.0214893617021;0.0234952864394
data,1241952600,0.0215246478873;0.0237014624307
data,1241952900,0.021548951049;0.0238724894575
data,1241952900,0.0215833333333;0.0239024044258
data,1241952900,0.0215689655172;0.0237190315315
data,1241953200,0.0215924657534;0.0236314059987
data,1241953200,0.0215816326531;0.0234803751303
data,1241953200,0.0216047297297;0.0234385771405
data,1241953500,0.0216073825503;0.0237606135305
data,1241953500,0.0216033333333;0.0236509446785
data,1241953500,0.021642384106;0.0235763021009
data,1241953500,0.0216875;0.0235428264806
data,1241953800,0.0216797385621;0.0235113893699
data,1241953800,0.0217305194805;0.0237685381356
data,1241953800,0.0216935483871;0.0235935856993
data,1241954100,0.0217403846154;0.0237473903967
data,1241954100,0.0217452229299;0.0237477290423
data,1241954100,0.0217405063291;0.0237128680972
data,1241954100,0.0217452830189;0.023568592289
data,1241954400,0.0217625;0.023524923703
data,1241954400,0.0217826086957;0.0236170750189
data,1241954400,0.0218148148148;0.0237109522017
data,1241954400,0.0218404907975;0.0238199164432
data,1241954700,0.0218841463415;0.0238700477401
