
New Run at  04/26/2018 14:23:36
, Time,RandomCTR;CoLinUCBCTR
data,1241938800,0.0255;0.0183486238532
data,1241938800,0.023;0.0145631067961
data,1241938800,0.0263333333333;0.0133779264214
data,1241938800,0.02675;0.0177215189873
data,1241939100,0.0262;0.0162601626016
data,1241939100,0.0256666666667;0.0200333889816
data,1241939100,0.0258571428571;0.0204678362573
data,1241939100,0.026125;0.0203562340967
data,1241939400,0.0258333333333;0.0180383314543
data,1241939400,0.02535;0.0182741116751
data,1241939400,0.0251363636364;0.0185701021356
data,1241939700,0.0250833333333;0.0211327134404
data,1241939700,0.0249230769231;0.0206264323911
data,1241939700,0.0248928571429;0.0220326936745
data,1241939700,0.0248333333333;0.0219414893617
data,1241940000,0.0243125;0.0217797137523
data,1241940000,0.0245882352941;0.0215743440233
data,1241940000,0.0243055555556;0.0213698630137
data,1241940300,0.0240789473684;0.0212435233161
data,1241940300,0.0242;0.0202169625247
data,1241940300,0.0242380952381;0.0211267605634
data,1241940600,0.0241818181818;0.0225963668587
data,1241940600,0.0241739130435;0.0233843537415
data,1241940600,0.0240833333333;0.0232273838631
data,1241940600,0.02424;0.0226651035561
data,1241940900,0.0243653846154;0.0225818592397
data,1241940900,0.0241851851852;0.0227190768121
data,1241940900,0.02425;0.022369800769
data,1241941200,0.0238103448276;0.0219817382482
data,1241941200,0.0237833333333;0.0219169120052
data,1241941200,0.0237419354839;0.0217665615142
data,1241941500,0.02375;0.0221470316826
data,1241941500,0.0236363636364;0.022652757079
data,1241941500,0.0235735294118;0.0229251305862
data,1241941500,0.0235;0.0234264747389
data,1241941800,0.0234305555556;0.0238617663193
data,1241941800,0.0234459459459;0.0237396639104
data,1241941800,0.0233684210526;0.0231048805815
data,1241942100,0.0232820512821;0.0237253912166
data,1241942100,0.023275;0.0238916256158
data,1241942100,0.023256097561;0.0235633565761
data,1241942400,0.0231904761905;0.0236091631604
data,1241942400,0.0230581395349;0.0230646266271
data,1241942400,0.0229772727273;0.0228392297358
data,1241942700,0.0229555555556;0.0223194748359
data,1241942700,0.0228695652174;0.0220509526868
data,1241942700,0.0229255319149;0.0225752508361
data,1241943000,0.0229479166667;0.0225872689938
data,1241943000,0.023;0.022668004012
data,1241943000,0.02295;0.0226467113037
data,1241943300,0.0228039215686;0.0224067993046
data,1241943300,0.0228846153846;0.0225336110585
data,1241943300,0.0228962264151;0.0224865266679
data,1241943600,0.0228240740741;0.0234046443591
data,1241943600,0.0227909090909;0.0240747394898
data,1241943600,0.0227857142857;0.024011299435
data,1241943900,0.0227807017544;0.0237723407947
data,1241943900,0.0227413793103;0.0235334242838
data,1241943900,0.0226949152542;0.0232791827165
data,1241944200,0.0226583333333;0.0230642504119
data,1241944200,0.0227049180328;0.0233047418676
data,1241944200,0.0226935483871;0.0231149370317
data,1241944500,0.0226904761905;0.0230082955079
data,1241944500,0.02265625;0.0236220472441
data,1241944500,0.0226153846154;0.0236902050114
data,1241944800,0.0227045454545;0.0238841618152
data,1241944800,0.0227014925373;0.0239846968805
data,1241945100,0.0226691176471;0.0240162037037
data,1241945100,0.0226956521739;0.0238469227474
data,1241945100,0.0226642857143;0.0236220472441
data,1241945400,0.0225845070423;0.0235685567725
data,1241945400,0.0225694444444;0.0235004782074
data,1241945400,0.0225410958904;0.0235753738381
data,1241945700,0.0224527027027;0.023441662227
data,1241945700,0.0224266666667;0.0237938740634
data,1241945700,0.0223421052632;0.0237879767292
data,1241946000,0.0222792207792;0.0238034297415
data,1241946000,0.02225;0.0237003058104
data,1241946000,0.0222341772152;0.0239847715736
data,1241946300,0.0222625;0.023848374545
data,1241946300,0.0222283950617;0.0236620416254
